species,ApoA1_0,ApoB_0,ApoB_by_ApoA1_0,CPEP_0,Clinical_LDL_C_0,GlycA_0,HDL_C_0,HDL_L_0,HDL_TG_0,HDL_size_0,IDL_C_0,IDL_L_0,IDL_TG_0,IL-6_0,INS_0,LDL_C_0,LDL_L_0,LDL_TG_0,LDL_size_0,L_HDL_C_0,L_HDL_L_0,L_HDL_TG_0,L_LDL_C_0,L_LDL_L_0,L_LDL_TG_0,L_VLDL_C_0,L_VLDL_L_0,L_VLDL_TG_0,MUFA_pct_0,M_HDL_C_0,M_HDL_L_0,M_HDL_TG_0,M_LDL_C_0,M_LDL_L_0,M_LDL_TG_0,M_VLDL_C_0,M_VLDL_L_0,M_VLDL_TG_0,Omega_3_pct_0,Omega_6_pct_0,PGLU_0,PUFA_pct_0,Remnant_C_0,SFA_pct_0,S_HDL_C_0,S_HDL_L_0,S_HDL_TG_0,S_HDL_TG_pct_0,S_LDL_C_0,S_LDL_L_0,S_LDL_TG_0,S_VLDL_C_0,S_VLDL_L_0,S_VLDL_TG_0,Total_C_0,Total_FA_0,Total_L_0,Total_TG_0,VLDL_C_0,VLDL_L_0,VLDL_TG_0,VLDL_size_0,XL_HDL_C_0,XL_HDL_L_0,XL_HDL_TG_0,XL_VLDL_C_0,XL_VLDL_L_0,XL_VLDL_TG_0,XS_VLDL_C_0,XS_VLDL_L_0,XS_VLDL_TG_0,XXL_VLDL_C_0,XXL_VLDL_L_0,XXL_VLDL_TG_0,non_HDL_C_0
Actinomyces_odontolyticus,0.0293054032012593,-0.0262150653019682,-0.0223949321415617,0.00980259466991463,-0.0371909541040189,-0.0416655702015949,0.0260317970273143,0.0357277947813619,0.0383549672291976,0.0498044818964195,-0.010412509360518,-0.00702894318726043,0.0328699849500085,-0.0313105470241653,-0.0125113170112389,-0.0349474239172055,-0.0340281239124935,0.0104636886907214,0.0650559405062078,0.0369638685183939,0.0420286003118575,0.0545417059697321,-0.0290676927660535,-0.0290650203991659,0.0144565902323882,-0.0212026703106406,-0.0225308831318927,-0.0253943511142123,-0.00798942282297884,0.011812138402588,0.0182030285879415,0.0349659885093905,-0.0462822239798033,-0.0443435446253684,0.00334987588746556,-0.0232866495646621,-0.0293945058733477,-0.020888077367578,0.0257095058175328,-0.00937397489637058,-0.0239776515732554,-0.0164573557888251,-0.0154473255690957,0.04070464060355,-0.0422201661022283,-0.0278081530775455,0.0171279441204588,0.0375258625223658,-0.0462302921529206,-0.043056403670515,0.0040908639999222,-0.00959406544424104,-0.00711240097255238,0.00590581853034134,-0.0157542120133124,-0.020862602284087,-0.0191409166315831,-0.0033470735945633,-0.014686140908946,-0.0161795909187447,-0.010926566109559,-0.0422677399124053,0.0337127581456372,0.0408968945642176,0.0440383381664501,-0.019483245652505,-0.0155711780968939,-0.0137535821933142,0.00855136945230528,0.0229289660925288,0.0368328898801604,0.00441083369903926,-0.00385700950991672,-0.0327494250962317,-0.0272183015303868
Actinomyces_sp_ICM47,0.0282121482362351,0.0146443434773297,0.0034053007271717,0.00494343237937886,0.00197584763543049,0.0264820102798279,0.0149065764450947,0.0258837963918581,0.0689939565295357,0.0158877940285701,0.00462497490175726,0.00459004495813952,0.00809844718096596,-0.0414144444175713,-0.01923912876975,0.00197102566978335,0.00122246242537613,0.00497679676280718,0.0377079746732607,0.00986525098026836,0.0136390273050278,0.0578942386096578,0.000852383862650848,0.000940093396535368,-0.00316619260240398,0.0466140812925724,0.0592258563413382,0.0668311403382796,0.0395179893436029,0.0172629733016332,0.028268511970114,0.0755599766621282,0.00212966077240334,0.00138082224459994,0.00779501065055751,0.01992061845006,0.0420828769654739,0.0544104915257749,-0.00575951241075648,-0.0454660050953976,0.0362784811761802,-0.0566417766194879,0.0285122174592125,0.0286646723606158,0.011578011400081,0.0281150302811824,0.0327877348823352,0.0306377610631459,-0.000636091907917546,-0.00309954279611232,0.0370954369424389,0.0129825024959082,0.0284061930108314,0.0447125346602951,0.0173764256610634,0.0484177127572816,0.0361613811936418,0.0602606984176509,0.0365866285791041,0.0520737081282114,0.0644103904662188,0.0583636256200403,-0.00678653567069201,-0.00171702955049916,0.0394997065474704,0.0489729003470925,0.0654483983907296,0.0694230916236133,0.0103827260026928,0.0193590209510089,0.0252535556811537,0.0659403852455384,0.0648224492467758,0.0464607935032168,0.013380551264365
Adlercreutzia_equolifaciens,0.0114858986922017,0.0205849356487346,0.00844544023176998,0.0465288161246144,0.0212915351507592,-0.0405486063458142,0.0226742898876592,0.0153082341341284,0.00803053767959842,0.0228652721852668,0.040520763035603,0.0349833481662421,0.0114782500275808,-0.121022945187437,0.0738099506121802,0.0175877424375731,0.0173756522998412,0.00449873007494057,-0.00115513481665026,0.0285089014158595,0.0236178941530654,0.0302036770094692,0.0171759352885587,0.0167459606051831,0.00425563221625966,0.0133701738293024,0.0175996462011065,0.0227538064365294,-0.0262972745144579,0.0047430395280239,0.00125039455452986,-0.000963224552095694,0.0148861058247818,0.0145577597463476,0.00450631362659221,0.0283813485188153,0.0242127485662942,0.0225145153997342,0.0217965640309012,0.00184910013380974,0.0555576807670077,0.00750894690134781,0.0265077016164091,0.0136283132769715,0.0140755437511654,0.00661989433126009,-0.0164480575044992,-0.0197046946976485,0.0225779469469071,0.0247115037859555,0.0170907528240138,0.0139600583882102,0.0134295369193857,0.0100676075559349,0.0360287804067412,0.0269271039173135,0.0314438590115424,0.0170912134964342,0.018292066066015,0.0190161120922112,0.0190492131669929,0.00928644265459538,0.0379792279108664,0.0333857597847529,0.038462120376105,0.0116271323671596,0.015011269943488,0.0159069982441068,0.0307715257495489,0.025993872560612,0.00707150412624275,0.0126225024601118,0.018910672598849,0.0258755797142676,0.0215140406044001
Agathobaculum_butyriciproducens,0.0257407410145029,0.00969361335429784,0.00238694555753002,-0.045376667828935,0.00744759051574093,-0.0762962468768561,0.0286219955233459,0.0271032278852815,-0.0118246222006259,0.0211391620745423,0.0212963228562541,0.013823940572005,-0.0208865409553702,-0.0843624727237885,-0.0376003337458538,0.00853406840487073,0.00656609532167325,-0.0304634180946406,0.00424406180571355,0.0226985460219325,0.0218886029766005,-0.000159415126549018,0.0075203086191363,0.0057785319256567,-0.0313303604231524,0.00267337353579196,0.0101041900308588,0.0175112889957378,-0.0404579370436265,0.0246248052972368,0.022382380467982,-0.0136441550344581,0.00544982778476303,0.00455446348723942,-0.0316448388353626,0.0130447362129965,0.013653367731468,0.0147014792390995,-0.0176985526480902,0.0806394287203963,-0.0114193794711881,0.0648055620636314,0.0157819266847883,-0.0341357142491697,-0.000127192006617209,-0.00209877572959586,-0.0249728244309104,-0.025655905852867,0.00962488480820435,0.0119657964069006,-0.0183281345548845,5.10373939914802e-05,-0.00162628393002019,-0.00251591777976253,0.0164860479693765,-0.00980021559702264,0.0153811314803478,-0.00190624035200886,0.00707315121077001,0.00468296955170125,0.00801439889913912,0.0148452233217764,0.0217540866048028,0.0207756802361413,0.00333324086385703,-0.00324578916052317,0.00266908034762706,0.00462655148196243,0.00647188936803981,0.000714898533075808,-0.0174122119676585,-0.0265773781562253,-0.0248499426524629,-0.000932495244514475,0.0109897156328836
Akkermansia_muciniphila,-0.0088006151034423,0.00804714565523199,0.00748041092075718,0.0257058072963752,0.000959309887439384,-0.0322999861198765,0.000900270749739883,-0.00232368822497129,-0.00539071308246014,0.0266352870636358,0.0142328566841313,0.0139691009882133,0.0139749861183028,-0.0898752226354439,0.0357770974278999,-0.00524303918769809,-0.00318278765174636,0.00765224497341921,0.0180577539330113,0.0168704087509744,0.0167717196217045,0.0173849940219428,-0.00495115482320042,-0.00251247780769396,0.0130746125172455,-0.014051449100308,-0.0221158735291087,-0.0291330212071908,-0.0173081824168205,-0.00892266891580185,-0.010695964388889,-0.00793683598836406,-0.00835196523174684,-0.00715864132030932,0.00351416537809057,0.010033616283473,-0.0110017141361041,-0.0193133239920058,0.0235782168239815,0.00964763574221129,-0.0167663683076034,0.00908441811987906,0.013485209567098,-0.0150759233645471,-0.0399890178777085,-0.0381208083152804,-0.0152126276216963,-0.00621508973221614,-0.00115117857407581,0.00270681360866,-0.0101822534985602,0.00717336287739342,-0.00367017980828355,-0.0126898849266479,0.00202439306505486,-0.0110075652931816,-0.00593588931301176,-0.0170301891336443,0.0019528492263173,-0.0137476157544652,-0.0238997004170509,-0.0408041946633154,0.0292093246708721,0.0302361469005162,0.0120957909173352,-0.0142383653109356,-0.0253820194546818,-0.0308032010379198,0.0206102154974566,0.0208315193060462,0.00350064862095863,-0.0315651965341889,-0.0434809345247927,-0.0507691191556958,0.00334650041780083
Alistipes_finegoldii,-0.0497776956472392,0.0244329442486378,0.053536924200684,0.0401034985012172,0.0134590903982746,0.0254673649892711,-0.0384302101441733,-0.0396039426085911,0.00358082507656919,-0.000681098257432514,0.0104841361936663,0.0119794856121512,0.0221686326921184,-0.03580920681779,0.074202233523394,0.00863110446322844,0.00956072745365128,0.0192980595580278,0.0130448525243402,-0.00987807667241245,-0.0124578780261422,0.011361133234637,0.00588495144468397,0.00687776778529557,0.0185475873316378,0.0154517312328609,7.65292304084728e-06,-0.0100879869525531,0.0231155922579659,-0.0607279715285356,-0.058028367275978,-0.00154800353461857,0.0157503113583393,0.0143356415097975,0.0199183333234961,0.0273586773809225,0.0123374585415078,-0.00528301112652136,0.00984590300252155,-0.0540020631783383,-0.00160379002924542,-0.0509822176759595,0.0166179200502062,0.0321950333421204,-0.0660342836114978,-0.0583740767094587,0.000319785840443801,0.0284573162769129,0.0199240711121029,0.0209752927514829,0.0194448899349964,0.0297389944260368,0.0177131719917586,-5.2318492790487e-05,-0.00226752822403221,0.00455354605314857,-0.00984157136177975,0.00606405572745835,0.0301176937867756,0.0157314055352389,-0.00149882460070356,-0.0225268845281052,0.0258208609498166,0.0249326037882658,0.028259961235417,0.0230013594923127,0.00365837678190793,-0.00555564220886097,0.0325019655580697,0.0370447116100775,0.0164909071652585,0.0275008555757091,0.0128309408812965,-0.00487442633584658,0.0117894696987763
Alistipes_indistinctus,-0.00873660533711316,0.0125722475943824,0.0196700974504958,-0.0474656547259491,-0.0104373548080161,-0.0413076890573654,-0.00272192212891186,0.000807656963703365,0.0349306735529444,0.0212575198176375,-0.000246145225687974,0.00624493036790249,0.0345116651161717,0.0122216776118919,-0.0212657026409804,-0.012812120413632,-0.0102045591540024,0.0216347323058227,0.0616999416817318,0.0136727475097071,0.0150352989680557,0.0503460298724468,-0.0127580518760676,-0.0108434855918777,0.0221944725132152,0.0196550444460289,0.0115704268305834,0.00494831943806306,0.00805050931695433,-0.017101483488138,-0.0141799561705157,0.0369031678601048,-0.0114089118958968,-0.0105049912109444,0.018432714702238,0.0216831153627832,0.0160400898405882,0.0104170465749168,0.00579682963664049,-0.00669009624535325,-0.0212192050613952,-0.0145570887786694,0.0171540461977418,0.0124844847545349,-0.0617320816514743,-0.0433773513750906,0.019891192343005,0.0340551081667382,-0.00759703993132652,-0.00382606449950976,0.0233282653704901,0.030095278477818,0.0267362841133649,0.0215495196620492,-0.00818241903872297,-0.00162608907002364,-0.00111274504013974,0.0185062788291706,0.0285538941861029,0.0210334778772277,0.0131874752573294,0.000867956961215587,0.0236472262565108,0.0283270997742034,0.0500544205826439,0.0188062247016094,0.0100401312233574,0.00488840321241713,0.0359476916057916,0.051957115140178,0.0363742355808271,0.0150984704678396,0.00616196647344108,-0.00160306141337234,0.000775312314074051
Alistipes_inops,0.00918998067206518,-0.0192503165595489,-0.0244757629255996,0.0386815513100643,-0.0115662082674891,-0.00875489859851823,0.0178476690942514,0.0112356089959892,-0.0480730132606977,0.0232353738919843,-0.0082426336735998,-0.0119351182249715,-0.0326319135143686,-0.0311592049658819,0.0701306743263694,-0.0141398330597516,-0.0140966932877842,-0.0331377188579837,-0.0465518750067065,0.0230739058794411,0.0220420608383332,-0.0221480409613753,-0.0145753996249812,-0.0153824061785075,-0.027587680214683,-0.0461974804589837,-0.0479226003353382,-0.0436642698358367,-0.0519015867225746,0.0167455262355175,0.0113818900578812,-0.0448359208483784,-0.0144927627030039,-0.0152634061836766,-0.0364941115467932,-0.0211267398828787,-0.0355182910695632,-0.0418935483427244,0.0173534514377447,0.025621980356916,0.0318663146267043,0.0485860509682321,-0.0185538473392808,-0.00840831262949712,0.0021830136112066,0.00259136330256371,-0.056228127900582,-0.0584655855318969,-0.00686719764358758,-0.00755676581969568,-0.0468924175195702,-0.0374070945888995,-0.0457879591191447,-0.0500335552393729,-0.0032748327469434,-0.00968616484144448,-0.00720523467585961,-0.0489159233266347,-0.0341942707896361,-0.0471740914820316,-0.0480128613795705,-0.0442559760755649,0.0323443014686469,0.0302572374359979,-0.02809927328577,-0.0465495465717042,-0.0508580020408406,-0.0477790218871477,-0.0187009822383228,-0.0284363155831502,-0.0509463244858761,-0.0454518065718283,-0.0317667895461267,-0.0143194909634965,-0.0164277714490454
Alistipes_onderdonkii,-0.0150980238323957,-0.0286861556587003,-0.0168129170445069,-0.00476007172440448,-0.0173738529648446,-0.0779282125743283,0.0227269719241033,0.0020833632238789,-0.0983970934210898,0.0537466070065974,0.00129740909264181,-0.00366202182678074,-0.034817702953385,-0.0977526851699988,0.0292873197193706,-0.0243596859644556,-0.0241193913537636,-0.0417384873470937,-0.0502912756274788,0.0480506080575769,0.0417878210131177,-0.060541631170242,-0.0234818522064189,-0.0238044025420697,-0.0298045547751663,-0.0761462379533234,-0.0792633470545944,-0.0771323836836448,-0.0771963886985034,-0.00439557042323241,-0.0245251829089211,-0.103388442531286,-0.0268059781839085,-0.0290920941126062,-0.0498445475266754,-0.0335733539457627,-0.0709861639758449,-0.0819974939303952,0.0655107851807114,0.0366657551809622,-0.00775418593061657,0.074617236439611,-0.0398065512277269,-0.0214672068701681,-0.0534712141396447,-0.076688207605028,-0.0917276238716486,-0.0817965817162504,-0.0176375104076531,-0.0124050559350299,-0.0705329659794137,-0.0433154668815879,-0.0692576400921778,-0.0829175252397258,-0.0195506421096634,-0.0746634739706053,-0.049593518460247,-0.085693377137638,-0.0610606836712889,-0.0799939967708184,-0.0848553201963826,-0.0959274702715194,0.0754207442949779,0.0705642048687717,-0.0446279494052247,-0.0790666269609787,-0.0783754621539381,-0.074789080898563,-0.0113080130580598,-0.0272236566269743,-0.0573710380889596,-0.111373244161681,-0.0980026794555232,-0.0802788978934906,-0.0316748277896253
Alistipes_putredinis,0.0270690720046299,0.0606792548890497,0.0363685576739042,-0.00140457328245742,0.0744688037485344,0.0228342724906205,0.0332945636448326,0.0299482813431906,-0.0122965295680553,0.02019984742736,0.07815109045091,0.0777202048742466,0.0410142697545799,0.0190045723122543,0.0194536478833088,0.065985386520224,0.0680390561837581,0.0523516300387761,0.00762875356766549,0.0287762799971449,0.0264207107545529,0.0156723919339067,0.067043993007092,0.0696494404993346,0.0602703633276495,0.00589055498924907,-0.0156962153588291,-0.0340121366231676,0.0225643804343529,0.0231575516705914,0.01724331860999,-0.017348153812524,0.0591756949886672,0.0603391187081837,0.0486418390967235,0.0524448285024305,0.0138376497518517,-0.0170212661893007,-0.0495483952509709,-0.0132413314928249,-0.0173251023966991,-0.0551327405313117,0.0540833904592321,0.0616285318996345,0.00961756978790499,7.20266180750967e-05,-0.00772627974506861,-0.0136426117042988,0.0660405032337943,0.0677718355641479,0.0179705762883834,0.0466858059074117,0.0216601365631558,-0.0154446331513567,0.0625964306365279,0.0181556859603176,0.0368656655510902,-0.0136408740236027,0.0370801172421158,0.00677818554769132,-0.0231102302630548,-0.0351376583513336,0.0447799843141778,0.0394107116250122,0.0219276279775737,0.012585416362411,-0.0172549623806679,-0.0334708906716996,0.0615653192688495,0.0478199476415378,0.0117652073641322,-0.00884995385388733,-0.0367508990276875,-0.074380428161567,0.0619301698270541
